,gamma_autocorrelation,ocean_heat_capacity[0],ocean_heat_capacity[1],ocean_heat_capacity[2],ocean_heat_transfer[0],ocean_heat_transfer[1],ocean_heat_transfer[2],deep_ocean_efficacy,sigma_eta,sigma_xi,forcing_4co2,iirf_0[CO2],iirf_uptake[CO2],iirf_temperature[CO2],iirf_airborne[CO2],erfari_radiative_efficiency[BC],erfari_radiative_efficiency[OC],erfari_radiative_efficiency[Sulfur],erfari_radiative_efficiency[NOx],erfari_radiative_efficiency[VOC],erfari_radiative_efficiency[NH3],erfari_radiative_efficiency[CH4],erfari_radiative_efficiency[N2O],erfari_radiative_efficiency[Equivalent effective stratospheric chlorine],aci_shape[Sulfur],aci_shape[BC],aci_shape[OC],aci_scale,ozone_radiative_efficiency[CH4],ozone_radiative_efficiency[N2O],ozone_radiative_efficiency[Equivalent effective stratospheric chlorine],ozone_radiative_efficiency[CO],ozone_radiative_efficiency[VOC],ozone_radiative_efficiency[NOx],forcing_scale[CH4],forcing_scale[N2O],forcing_scale[CFC-11],forcing_scale[CFC-12],forcing_scale[CFC-113],forcing_scale[CFC-114],forcing_scale[CFC-115],forcing_scale[HCFC-22],forcing_scale[HCFC-141b],forcing_scale[HCFC-142b],forcing_scale[CCl4],forcing_scale[CHCl3],forcing_scale[CH2Cl2],forcing_scale[CH3Cl],forcing_scale[CH3CCl3],forcing_scale[CH3Br],forcing_scale[Halon-1211],forcing_scale[Halon-1301],forcing_scale[Halon-2402],forcing_scale[CF4],forcing_scale[C2F6],forcing_scale[C3F8],forcing_scale[c-C4F8],forcing_scale[C4F10],forcing_scale[C5F12],forcing_scale[C6F14],forcing_scale[C7F16],forcing_scale[C8F18],forcing_scale[NF3],forcing_scale[SF6],forcing_scale[SO2F2],forcing_scale[HFC-125],forcing_scale[HFC-134a],forcing_scale[HFC-143a],forcing_scale[HFC-152a],forcing_scale[HFC-227ea],forcing_scale[HFC-32],forcing_scale[HFC-365mfc],forcing_scale[HFC-4310mee],forcing_scale[HFC-23],forcing_scale[HFC-236fa],forcing_scale[HFC-245fa],forcing_scale[Stratospheric water vapour],forcing_scale[Land use],forcing_scale[Volcanic],forcing_scale[Solar],forcing_scale[Light absorbing particles on snow and ice],forcing_scale[CO2],baseline_concentration[CO2],seed,stochastic_run,use_seed
1234,0.622618498,4.680552149,23.29509877,56.34611241,1.694550126,3.302788029,1.007776084,1.294581664,0.534051853,0.440173728,7.054239567,36.46151975,-0.002494622,1.864173411,0.002535488,0.016692623,-0.007141297,-0.00252033,-6.84E-05,-1.77E-05,-0.000678164,-3.11E-06,-6.17E-05,-8.95E-06,0.01817659,0.999198787,9.51E-19,-0.279303055,0.000199245,0.00077118,-6.25E-05,7.59E-05,0.000216105,0.000763341,1.135405248,0.899576981,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.130600535,1.418958016,1.197356418,1.192193027,0.595296447,2.168809329,0.934678576,278.3592147,1848129,TRUE,TRUE
2451,1.72649954,3.233523672,26.73972133,61.13225634,1.573491937,2.01069165,0.522248239,1.180094836,0.647172235,0.283346705,5.916337279,26.98019837,0.004443187,2.308980686,0.003215318,0.026441578,-0.004716686,-0.002556607,-5.50E-05,-2.71E-05,-0.000634872,-2.03E-06,-2.09E-05,-9.65E-06,0.00108262,1.06E-07,4.69E-26,-8.142523783,0.000276956,0.001390455,-8.33E-06,-1.71E-05,0.000486559,0.000761138,0.983121914,1.101658846,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,0.9776644,1.773186603,0.304993316,1.038235535,1.020849179,1.971089369,0.853681262,280.2182999,2333712,TRUE,TRUE
5859,10.59402954,5.245430824,12.8659476,97.65153428,1.116086073,2.398415458,0.565061952,1.68738262,1.216485343,0.708414328,8.712622854,30.23621893,0.002665316,4.286382261,0.001871012,0.006666993,-0.004231334,-0.00311766,-4.20E-05,-8.83E-06,-0.000571939,-3.61E-06,-4.95E-05,-8.77E-06,0.011128263,316.2220056,1.47E-17,-0.936199224,0.000279167,0.001663789,-0.000147886,-5.93E-05,0.000362232,0.000807751,0.886670839,1.04760319,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,1.079184349,0.904936034,0.444870776,0.926377315,1.274172907,1.188881634,1.053831007,276.612839,3693504,TRUE,TRUE
5883,2.529500908,4.594716616,10.53864403,77.17442009,1.784144605,2.745979434,1.262495259,1.436209931,0.714796038,0.408355525,6.333894534,35.4313698,-0.001516265,-0.936351591,0.006156632,0.051519184,-0.006131054,-0.004983987,-6.33E-05,-3.65E-05,-0.000612561,-3.00E-06,-5.16E-05,-7.40E-06,0.007419183,7.92E-13,0.001284535,-0.969757764,0.000216087,0.001234986,2.54E-05,0.000153458,0.000312594,0.002081992,0.895828305,0.931756457,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,0.961674051,1.086858234,0.592382097,0.785746679,0.901431999,1.43579844,0.884792164,276.9708382,3703080,TRUE,TRUE
14573,8.190986196,4.154515533,18.76175437,62.10343264,1.372178881,2.219757319,1.402621923,1.273904761,1.006219224,0.517087709,9.350193994,31.48984334,0.000729943,1.209968445,0.003697534,0.002001758,-0.005204839,-0.004226485,-0.000111855,-3.20E-05,-0.000630911,-8.39E-07,-5.44E-05,-7.19E-06,0.000629831,0.000130899,4.50E-27,-10.37490535,0.000266585,0.001529632,5.45E-05,8.38E-05,0.000116689,0.000905073,0.946969994,1.020399548,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.953067307,0.342867714,0.82436066,0.82134001,1.278123927,1.33939259,1.098433086,279.9157285,7170390,TRUE,TRUE
15405,7.69800734,3.794027175,25.14750793,97.46201066,1.518026511,3.198881019,1.660795758,1.180560373,0.817026873,0.505577836,7.935989536,29.61925337,0.002392271,5.936004811,1.06E-05,0.040715225,-0.0047217,-0.00399419,-4.08E-05,-1.09E-05,-0.000580815,-2.54E-06,-3.07E-05,-8.02E-06,2.10E-06,2.19E-07,1.64E-05,-1038.136586,0.000337285,0.001088199,1.34E-05,-3.12E-05,0.000730901,0.000711407,0.896235837,1.007316444,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,1.005012889,0.526326214,0.936952092,0.981279895,0.545427006,0.306147445,0.999708833,277.8273034,7502358,TRUE,TRUE
16333,8.829827892,4.478151002,21.03780667,80.43908245,1.058646578,3.212401229,1.023333599,1.447430679,0.902827459,0.537637722,8.497788448,38.84087288,-0.004770167,-1.590406789,0.006573717,-0.005128033,-0.004921065,-0.001070594,-7.03E-05,-3.18E-06,-0.000563954,-4.85E-06,-6.39E-05,-9.00E-06,5.42E-07,0.000124844,1.01E-06,-1310.454257,0.00015911,0.001061195,-9.95E-05,0.000149213,-3.00E-05,0.000644254,0.997434389,0.896087601,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,1.100212273,0.925411407,0.619365957,1.093982346,1.162591632,0.930384367,1.038302662,278.1871889,7872630,TRUE,TRUE
17442,1.826066991,5.326148222,10.45110318,85.39779719,1.369781337,2.205600915,0.911588552,1.180128907,0.482769872,0.605241274,7.731392003,35.51584923,-0.002582218,1.905806507,0.002926549,0.027958455,-0.006269548,-0.002322003,-7.09E-05,-3.55E-05,-0.000588968,-1.80E-06,-4.59E-05,-9.48E-06,2.75E-07,7.36E-06,1.48E-05,-3101.614869,0.0002281,0.000623013,1.53E-05,-1.77E-05,0.000122578,0.001738299,1.038607702,0.884134497,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.03011238,1.169745736,1.118211961,0.896167102,0.513333509,-0.457695027,0.985238396,279.9648865,8315121,TRUE,TRUE
18747,1.540091703,3.933973543,22.70853899,39.06298613,1.337954142,2.346982822,1.017883015,1.228423661,0.644582271,0.253299675,5.968393362,35.1853926,-0.002116684,1.731265943,0.003608299,0.050173123,-0.002382723,-0.004241567,-7.98E-05,-1.53E-05,-0.000637893,-1.42E-06,-4.36E-05,-8.27E-06,0.002669468,0.044450004,0.006578352,-0.712945565,0.000225641,0.000905924,-0.000112305,2.82E-05,0.000290495,0.001810011,1.081815297,1.070563082,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.983145071,0.941350665,0.86554409,1.232087339,1.297610313,-0.731243179,0.857429712,278.6094493,8835816,TRUE,TRUE
18920,0.974143933,4.259782974,14.52949596,77.83735878,1.284305608,4.523355319,0.673893388,1.600527175,0.531641884,0.411204493,8.9033647,36.69027852,-0.003756224,1.182490116,0.00488361,0.030611418,-0.005773607,-0.004099598,-6.28E-05,1.40E-06,-0.00054089,-1.65E-07,-1.38E-05,-9.54E-06,0.059934707,2.96E-44,1.013370694,-1.566255204,0.000315483,0.000898427,2.30E-05,-1.83E-05,9.38E-05,0.001289432,0.969567101,1.113447341,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.002194557,1.772558411,1.024557687,1.091263729,1.459008353,1.73429464,1.066462712,279.1703544,8904843,TRUE,TRUE
