Model,Beta 0,Beta 1,r0,rT,rC,a0,a1,a2,a3
CLIMBER2LPJ,0.874914,1.109642,35.12535466,4.830637279,0.011366205,0.1495538708,0.2497808398,0.3817138958,0.2189513938
GENIE_ensemble_median,0.994208,0.821885,39.91467574,3.577936235,0.008418673,0.1495538708,0.2497808398,0.3817138958,0.2189513938
ACC2,0.847829,0.847829,34.03796752,3.690879016,0.008684421,0.1495538708,0.2497808398,0.3817138958,0.2189513938
MULTIMODEL_MEAN,1.000896,0.995279,40.18318027,4.332777455,0.01019477,0.1495538708,0.2497808398,0.3817138958,0.2189513938
Bern3DLPJ_reference,1.097924,1.501511,44.0785836,6.536572166,0.01538017,0.1495538708,0.2497808398,0.3817138958,0.2189513938
MAGICC6_ensemble_median,0.983727,0.983727,39.49389285,4.282487792,0.010076442,0.1495538708,0.2497808398,0.3817138958,0.2189513938
NCAR_CSM14,0.961096,0.695445,38.58532137,3.02750125,0.007123532,0.1495538708,0.2497808398,0.3817138958,0.2189513938
DCESS,1.170698,0.817278,47.00025654,3.557880446,0.008371483,0.1495538708,0.2497808398,0.3817138958,0.2189513938
UVic29,0.895787,1.340127,35.96334734,5.834014434,0.013727093,0.1495538708,0.2497808398,0.3817138958,0.2189513938
LOVECLIM,1.058239,0.250332,42.48534164,1.089777686,0.002564183,0.1495538708,0.2497808398,0.3817138958,0.2189513938
BernSAR,0.987504,0.768827,39.64552885,3.346957277,0.007875194,0.1495538708,0.2497808398,0.3817138958,0.2189513938
TOTEM2,1.32619,1.32619,53.24282627,5.77334208,0.013584334,0.1495538708,0.2497808398,0.3817138958,0.2189513938
Bern25DLPJ,0.88877,1.208966,35.68163438,5.26302738,0.012383594,0.1495538708,0.2497808398,0.3817138958,0.2189513938
Bern3DLPJ_ensemble_median,1.126767,1.126767,45.23654953,4.905188047,0.011541619,0.1495538708,0.2497808398,0.3817138958,0.2189513938
MPIESM,0.905056,0.905056,36.33547182,3.940007005,0.009270605,0.1495538708,0.2497808398,0.3817138958,0.2189513938
MESMO,1.077818,1.459969,43.27138383,6.355726151,0.01495465,0.1495538708,0.2497808398,0.3817138958,0.2189513938
HadGEM2ES,0.977205,0.977205,39.23205275,4.254095377,0.010009636,0.1495538708,0.2497808398,0.3817138958,0.2189513938
