RCP3PD__EMISSIONS____________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTENT:           GLOBAL ANNUAL EMISSIONS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RUN:               RCP3PD (RCP3-Peak&Decline), FINAL RELEASE, 26 Nov. 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RCP3PD CONTACT:    IMAGE group, Detlef van Vuuren (riahi@iiasa.ac.at)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE:              26/11/2009 11:29:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAGICC-VERSION:    6.3.09, 25 November 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FILE PRODUCED BY:  RCP Concentration Calculation & Data Group, M. Meinshausen, S. Smith, K. Riahi, D. van Vuuren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOCUMENTATION:     M. Meinshausen, S. Smith et al. (2011) ""The RCP GHG concentrations and their extension from 1765 to 2300"", DOI 10.1007/s10584-011-0156-z, Climatic Change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMIP5 INFO:        http://cmip-pcmdi.llnl.gov/cmip5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCP DATABASE:      http://www.iiasa.ac.at/web-apps/tnt/RcpDb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FURTHER INFO:      For data sources, aknowledgements and further information, see http://www.pik-potsdam.de/~mmalte/rcps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:              THIS EMISSION DATASET ONLY TO BE USED FOR EMISSION-DRIVEN ESM CMIP5 RUNS, AS CONCENTRATIONS, NOT EMISSIONS, SHALL BE PRESCRIBED IN MAIN CMIP5 RUNS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                   RCP3PD starts 2005; 20th century data and earlier is provided for convenience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN_DESCRIPTION________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. FossilCO2        - Fossil & Industrial CO2 (Fossil, Cement, Gas Flaring & Bunker Fuels)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. OtherCO2         - Landuse related CO2 Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. CH4              - Methane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. N2O              - Nitrous Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. - 11.            - Tropospheric ozone precursors, aerosols and reactive gas emissions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12. - 23.           - Flourinated gases controlled under the Kyoto Protocol, (HFCs, PFCs, SF6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24. - 39.           - Ozone Depleting Substances controlled under the Montreal Protocol (CFCs, HFCFC, Halons, CCl4, MCF, CH3Br, CH3Cl)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
&THISFILE_SPECIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATACOLUMNS,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTYEAR,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_LASTYEAR,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_ANNUALSTEPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTDATAROW,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_UNITS,SEE ROW 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATTYPE,RCPDAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
UNITS:,GtC/yr,GtC/yr,MtCH4/yr,MtN2O-N/yr,MtS/yr,MtCO/yr,Mt/yr,MtN/yr,Mt/yr,Mt/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
v YEARS/GAS >,FossilCO2,OtherCO2,CH4,N2O,SOx,CO,NMVOC,NOx,BC,OC,NH3,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
1765,0.003,0,0,0,0,0,0,0,0,0,0.83383669,0.010762744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1766,0.003,0.005338296,1.9632619,0.005191085,0.098882647,9.0502213,1.5968747,0.10950162,0.106998,0.56591996,0.85423057,0.010752073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1767,0.003,0.010676593,2.4364481,0.010116813,0.1163065,12.960844,2.2923164,0.16803826,0.1333826,0.78146771,0.87416738,0.010747949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1768,0.003,0.016014889,2.911105,0.015042803,0.13381075,16.876539,2.9886478,0.2266252,0.15984677,0.99736131,0.89365446,0.01074382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1769,0.003,0.021353185,3.3872782,0.019969063,0.15139789,20.797465,3.6858966,0.28526401,0.18639296,1.2136114,0.91269911,0.010739687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1770,0.003,0.026691482,3.8650146,0.024895601,0.16907049,24.723782,4.3840909,0.34395628,0.21302373,1.4302291,0.93130867,0.010735548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1771,0.004,0.032029778,4.3443625,0.029822427,0.18683119,28.655658,5.0832602,0.40270367,0.23974168,1.6472257,0.95253247,0.010731403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1772,0.004,0.037368074,4.8253718,0.034749548,0.20468271,32.593264,5.7834346,0.46150789,0.26654951,1.864613,0.97029378,0.010727254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1773,0.004,0.042706371,5.3080938,0.039676975,0.22262786,36.536778,6.4846451,0.52037068,0.29345,2.082403,0.98764194,0.010723098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1774,0.004,0.048044667,5.7925816,0.044604715,0.24066954,40.486382,7.1869238,0.57929387,0.32044601,2.3006082,1.0045843,0.010718937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1775,0.004,0.053382963,6.2788896,0.04953278,0.25881073,44.442265,7.8903037,0.63827932,0.34754051,2.5192414,1.0211281,0.010714769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1776,0.004,0.058721259,6.7670743,0.05446118,0.27705451,48.40462,8.5948188,0.69732895,0.37473653,2.7383159,1.0372808,0.010710595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1777,0.004,0.064059556,7.2571937,0.059389923,0.29540406,52.373649,9.3005044,0.75644476,0.40203721,2.9578452,1.0530496,0.010706413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1778,0.004,0.069397852,7.7493076,0.064319022,0.31386264,56.349557,10.007397,0.81562878,0.4294458,3.1778436,1.0684418,0.010702225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1779,0.004,0.074736148,8.2434776,0.069248487,0.33243362,60.332558,10.715533,0.87488313,0.45696563,3.3983254,1.0834648,0.01069803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1780,0.004,0.080074445,8.7397674,0.07417833,0.35112049,64.32287,11.424951,0.93420999,0.48460014,3.6193057,1.0981259,0.010693826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1781,0.005,0.085412741,9.2382426,0.079108562,0.36992683,68.32072,12.135692,0.99361159,0.51235288,3.8407999,1.1154744,0.010689617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1782,0.005,0.090751037,9.7389706,0.084039195,0.38885633,72.32634,12.847795,1.0530902,0.5402275,4.0628238,1.1294337,0.010685398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1783,0.005,0.096089334,10.242021,0.088970241,0.4079128,76.339972,13.561303,1.1126483,0.56822778,4.2853938,1.143053,0.010681171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
1784,0.005,0.10142763,10.747466,0.093901714,0.42710016,80.361863,14.27626,1.1722883,0.59635759,4.5085268,1.1563396,0.010676935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.267,3100.211
