RCP8.5__RADIATIVE FORCINGS____________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONTENT:           ANNUAL AVERAGE, GLOBAL MEAN RADIATIVE FORCING.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RUN:               RCP85, FINAL RELEASE, 26 Nov. 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RCP8.5 CONTACT:    MESSAGE group, Keywan Riahi (riahi@iiasa.ac.at)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE:              26/11/2009 11:29:06 (updated description) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAGICC-VERSION:    6.3.09, 25 November 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FILE PRODUCED BY:  RCP Concentration Calculation & Data Group, M. Meinshausen, S. Smith, K. Riahi, D. van Vuuren et al.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DOCUMENTATION:     M. Meinshausen, S. Smith et al. (2011) ""The RCP GHG concentrations and their extension from 1765 to 2300"", DOI 10.1007/s10584-011-0156-z, Climatic Change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMIP5 INFO:        http://cmip-pcmdi.llnl.gov/cmip5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCP DATABASE:      http://www.iiasa.ac.at/web-apps/tnt/RcpDb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FURTHER INFO:      For data sources, aknowledgements and further information, see http://www.pik-potsdam.de/~mmalte/rcps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:              THIS FORCING DATASET IS NOT CMIP5 RECOMMENDATION, AS CONCENTRATIONS, NOT FORCING, SHALL BE PRESCRIBED IN MAIN CMIP5 RUNS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                   Radiative Forcing after strat. temp. adjustment.;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                   RCP8.5 starts 2005; 20th century data and earlier is provided for convenience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN_DESCRIPTION________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1       TOTAL_INCLVOLCANIC_RF   Total anthropogenic and natural radiative forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2       VOLCANIC_ANNUAL_RF      Annual mean volcanic stratospheric aerosol forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3       SOLAR_RF                Solar irradience forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4       TOTAL_ANTHRO_RF         Total anthropogenic forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5       GHG_RF                  Total greenhouse gas forcing (CO2, CH4, N2O, HFCs, PFCs, SF6, and Montreal Protocol gases).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6       KYOTOGHG_RF             Total forcing from greenhouse gases controlled under the Kyoto Protocol (CO2, CH4, N2O, HFCs, PFCs, SF6).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7       CO2CH4N2O_RF            Total forcing from CO2, methan and nitrous oxide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8       CO2_RF                  CO2 Forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9       CH4_RF                  Methane Forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10      N2O_RF                  Nitrous Oxide Forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11      FGASSUM_RF              Total forcing from all flourinated gases controlled under the Kyoto Protocol (HFCs, PFCs, SF6; i.e. columns 13-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12      MHALOSUM_RF             Total forcing from all gases controlled under the Montreal Protocol (columns 25-40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-24                           Flourinated gases controlled under the Kyoto Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-40                           Ozone Depleting Substances controlled under the Montreal Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41      TOTAER_DIR_RF           Total direct aerosol forcing (aggregating columns 42 to 47),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42      OCI_RF                  Direct fossil fuel aerosol (organic carbon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43      BCI_RF                  Direct fossil fuel aerosol (black carbon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44      SOXI_RF                 Direct sulphate aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45      NOXI_RF                 Direct nitrate aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46      BIOMASSAER_RF           Direct biomass burning related aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47      MINERALDUST_RF          Direct Forcing from mineral dust aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48      CLOUD_TOT_RF            Cloud albedo effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49      STRATOZ_RF              Stratospheric ozone forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50      TROPOZ_RF               Tropospheric ozone forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51      CH4OXSTRATH2O_RF        Stratospheric water-vapour from methane oxidisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52      LANDUSE_RF              Landuse albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53      BCSNOW_RF               Black carbon on snow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
&THISFILE_SPECIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATACOLUMNS,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTYEAR,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_LASTYEAR,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_ANNUALSTEPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTDATAROW,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_UNITS,SEE ROW 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATTYPE,RCPDAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
UNITS:,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2
v YEARS/GAS >,TOTAL_INCLVOLCANIC_RF,VOLCANIC_ANNUAL_RF,SOLAR_RF,TOTAL_ANTHRO_RF,GHG_RF,KYOTOGHG_RF,CO2CH4N2O_RF,CO2_RF,CH4_RF,N2O_RF,FGASSUM_RF,MHALOSUM_RF,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL,TOTAER_DIR_RF,OCI_RF,BCI_RF,SOXI_RF,NOXI_RF,BIOMASSAER_RF,MINERALDUST_RF,CLOUD_TOT_RF,STRATOZ_RF,TROPOZ_RF,CH4OXSTRATH2O_RF,LANDUSE_RF,BCSNOW_RF
1765,0,0,-0.02835875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,0.12602655,0.11622211,-0.02069375,0.016318812,0.015363514,0.015363514,0.015363514,0.011049082,0.00357577,0.000738661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,0,-2.87E-05,-1.29E-05,0.000250103,-0.000190735,-0.000801451,0,0.001406038,0.000606707,-0.00038147,0.000107708
1767,0.27303147,0.23244422,0.007039375,0.033547871,0.03212315,0.03212315,0.03212315,0.023246047,0.007360738,0.001516365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47E-06,0,0,-7.98E-05,-3.19E-05,0.000672939,-0.000567733,-0.00238112,0,0.003378272,0.001248914,-0.001135466,0.00032059
1768,0.27887064,0.19744422,0.046256875,0.03516955,0.03497215,0.03497215,0.03497215,0.025605215,0.007773127,0.001593808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000120356,0,0,-0.000120421,-4.16E-05,0.000977553,-0.000935841,-0.003914936,0,0.004257042,0.001318897,-0.001871683,0.000528435
1769,0.24204524,0.13181922,0.073605,0.036621026,0.037899463,0.037899463,0.037899463,0.028057033,0.008172373,0.001670056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00028157,0,0,-0.000153962,-4.79E-05,0.001215491,-0.001295168,-0.005404098,0,0.004879612,0.001386651,-0.002590337,0.000731305
1770,0.24282439,0.12744422,0.077258125,0.038122043,0.040855884,0.040855884,0.040855884,0.03055287,0.008557786,0.001745228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000470954,0,0,-0.000182439,-5.25E-05,0.001409847,-0.001645824,-0.006849764,0,0.005497207,0.001452059,-0.003291648,0.000929259
1771,0.28414227,0.17994422,0.064894375,0.039303678,0.043845012,0.043845012,0.043845012,0.033093627,0.008932072,0.001819313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000888303,-1.69E-05,6.07E-05,-0.000242598,-5.70E-05,0.001355389,-0.001987916,-0.008446667,0,0.006110907,0.001515579,-0.003975833,0.001142983
1772,0.29985709,0.21494422,0.04433625,0.040576622,0.046896662,0.046896662,0.046896662,0.035705793,0.009298586,0.001892284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00132732,-3.37E-05,0.00012133,-0.000298156,-6.08E-05,0.001265564,-0.002321555,-0.010001348,0,0.006722044,0.001577781,-0.00464311,0.001351913
1773,0.29075585,0.22806922,0.020348125,0.042338505,0.050019453,0.050019453,0.050019453,0.038397133,0.009658063,0.001964257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001571179,-3.37E-05,0.00012133,-0.000314621,-6.34E-05,0.00136606,-0.002646849,-0.01132127,0,0.007330926,0.00163879,-0.005293698,0.001535483
1774,0.27809954,0.23244422,0.00144375,0.044211576,0.053206144,0.053206144,0.053206144,0.041160901,0.010009802,0.00203544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001814906,-3.37E-05,0.00012133,-0.000329868,-6.57E-05,0.001457004,-0.002963907,-0.012602014,0,0.0079373,0.001698487,-0.005927814,0.00171438
1775,0.26883905,0.23244422,-0.009813125,0.046207954,0.056468729,0.056468729,0.056468729,0.044009648,0.010353103,0.002105978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002056869,-3.37E-05,0.00012133,-0.000344145,-6.80E-05,0.001540454,-0.003272839,-0.013844557,0,0.008540913,0.001756752,-0.006545677,0.001888663
1776,0.27685606,0.23244422,-0.003950625,0.04836247,0.059842336,0.059842336,0.059842336,0.046979223,0.010687266,0.002175848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002295893,-3.37E-05,0.00012133,-0.00035764,-7.00E-05,0.001617931,-0.003573752,-0.015049844,0,0.009141515,0.001813467,-0.007147505,0.002058394
1777,0.30576066,0.23244422,0.022645,0.050671443,0.063323868,0.063323868,0.063323868,0.050067292,0.011011591,0.002244985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002531115,-3.37E-05,0.00012133,-0.000370499,-7.21E-05,0.001690581,-0.003866758,-0.016218795,0,0.009738855,0.001868514,-0.007733515,0.002223632
1778,0.33787519,0.23244422,0.05236875,0.053062222,0.066841453,0.066841453,0.066841453,0.053202569,0.011325381,0.002313503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002761901,-3.37E-05,0.00012133,-0.000382835,-7.40E-05,0.001759287,-0.004151963,-0.017352301,0,0.010332685,0.001921773,-0.008303926,0.002384439
1779,0.34758091,0.23244422,0.05970125,0.055435443,0.070296647,0.070296647,0.070296647,0.05628708,0.011627938,0.00238163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002987779,-3.37E-05,0.00012133,-0.000394738,-7.59E-05,0.001824733,-0.004429478,-0.018451227,0,0.010922758,0.001973126,-0.008858956,0.002540874
1780,0.34167396,0.23244422,0.05152875,0.057700993,0.073601169,0.073601169,0.073601169,0.059234532,0.011917108,0.002449529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003208404,-3.37E-05,0.00012133,-0.00040628,-7.78E-05,0.001887462,-0.004699412,-0.019516415,0,0.011508259,0.002022208,-0.009398823,0.002692999
1781,0.33372182,0.23244422,0.041895,0.059382599,0.076718345,0.076718345,0.076718345,0.06201229,0.012188879,0.002517176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003695298,-5.06E-05,0.000181996,-0.000443034,-8.01E-05,0.001658285,-0.004961873,-0.020734191,0,0.012087653,0.002068337,-0.009923745,0.002861498
1782,0.29101994,0.21056922,0.019495,0.060955722,0.079690512,0.079690512,0.079690512,0.064664134,0.012441892,0.002584486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004179171,-6.74E-05,0.000242661,-0.000479101,-8.24E-05,0.001424056,-0.00521697,-0.021919206,0,0.012660437,0.002111283,-0.01043394,0.003025807
1783,0.17560532,0.11869422,-0.006033125,0.062944224,0.082603297,0.082603297,0.082603297,0.067271913,0.012679821,0.002651563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004387799,-6.74E-05,0.000242661,-0.000489063,-8.42E-05,0.001475051,-0.005464813,-0.02288675,0,0.013228071,0.002151669,-0.010929626,0.003165362
1784,0.090269194,0.044319219,-0.0190575,0.065007475,0.085548088,0.085548088,0.085548088,0.069921132,0.01290832,0.002718636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004589929,-6.74E-05,0.000242661,-0.000498942,-8.60E-05,0.001525318,-0.00570551,-0.023823746,0,0.013792782,0.002190454,-0.011411021,0.003300847
1785,0.16245306,0.10119422,-0.00597625,0.067235093,0.088612233,0.088612233,0.088612233,0.072693308,0.013133038,0.002785887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004785585,-6.74E-05,0.000242661,-0.000508756,-8.79E-05,0.001574965,-0.005939172,-0.02473093,0,0.014356795,0.002228598,-0.011878343,0.003432324
1786,0.28956182,0.18869422,0.031189375,0.069678227,0.091844626,0.091844626,0.091844626,0.075631696,0.013359615,0.002853316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004974809,-6.74E-05,0.000242661,-0.00051852,-8.97E-05,0.001624075,-0.006165905,-0.025609019,0,0.014922328,0.002267058,-0.01233181,0.003559852
1787,0.35299901,0.22369422,0.056993125,0.072311665,0.095217797,0.095217797,0.095217797,0.078703283,0.013593686,0.002920828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005157658,-6.74E-05,0.000242661,-0.000528246,-9.15E-05,0.001672714,-0.006385821,-0.026458714,0,0.015491599,0.002306791,-0.012771641,0.003683493
