Natural emissions backed out from the RCP scenarios
Method: assumed 1765 was steady state. Used constant lifetime of 9.3 years for CH4 and 121 years for N2O. After 2005, lifetimes are fixed at 2005 levels.
year       CH4        N2O
           MtCH4      MtN2O-N
1765.0000  209.2492   11.1555
1766.0000  209.2957   11.2105
1767.0000  209.1874   11.2624
1768.0000  208.8695   11.2565
1769.0000  208.5340   11.2508
1770.0000  208.1871   11.2452
1771.0000  207.8449   11.2396
1772.0000  207.5117   11.2339
1773.0000  207.1767   11.2284
1774.0000  206.8331   11.2232
1775.0000  206.4805   11.2182
1776.0000  206.1186   11.2132
1777.0000  205.7469   11.2080
1778.0000  205.3651   11.2030
1779.0000  204.9727   11.1984
1780.0000  204.5623   11.1939
1781.0000  204.1237   11.1894
1782.0000  203.6677   11.1848
1783.0000  203.2180   11.1803
1784.0000  202.7857   11.1762
1785.0000  202.3737   11.1723
1786.0000  201.9846   11.1685
1787.0000  201.6213   11.1644
1788.0000  201.2862   11.1606
1789.0000  200.9822   11.1569
1790.0000  200.7067   11.1536
1791.0000  200.4450   11.1503
1792.0000  200.1830   11.1468
1793.0000  199.9184   11.1434
1794.0000  199.6523   11.1404
1795.0000  199.3840   11.1376
1796.0000  199.1122   11.1348
1797.0000  198.8363   11.1320
1798.0000  198.5552   11.1292
1799.0000  198.2680   11.1267
1800.0000  197.9885   11.1245
1801.0000  197.7448   11.1224
1802.0000  197.5344   11.1203
1803.0000  197.3258   11.1182
1804.0000  197.1020   11.1163
1805.0000  196.8608   11.1147
1806.0000  196.5997   11.1132
1807.0000  196.3163   11.1116
1808.0000  196.0082   11.1102
1809.0000  195.6729   11.1089
1810.0000  195.3194   11.1078
1811.0000  194.9717   11.1068
1812.0000  194.6395   11.1059
1813.0000  194.3091   11.1051
1814.0000  193.9714   11.1045
1815.0000  193.6260   11.1039
1816.0000  193.2725   11.1035
1817.0000  192.9104   11.1033
1818.0000  192.5392   11.1032
1819.0000  192.1585   11.1031
1820.0000  191.7686   11.1031
1821.0000  191.3715   11.1032
1822.0000  190.9685   11.1034
1823.0000  190.5589   11.1039
1824.0000  190.1421   11.1044
1825.0000  189.7179   11.1050
1826.0000  189.2861   11.1057
1827.0000  188.8465   11.1067
1828.0000  188.3990   11.1078
1829.0000  187.9434   11.1089
1830.0000  187.4737   11.1100
1831.0000  186.9795   11.1112
1832.0000  186.4648   11.1128
1833.0000  185.9448   11.1145
1834.0000  185.4269   11.1162
1835.0000  184.9122   11.1180
1836.0000  184.4018   11.1199
1837.0000  183.8971   11.1221
1838.0000  183.3989   11.1245
1839.0000  182.9084   11.1269
1840.0000  182.4354   11.1302
1841.0000  181.9900   11.1501
1842.0000  181.5538   11.1922
1843.0000  181.0930   11.2154
1844.0000  180.5919   11.1788
1845.0000  180.0463   11.0740
1846.0000  179.4521   10.9446
1847.0000  178.8048   10.8656
1848.0000  178.1004   10.8438
1849.0000  177.3344   10.8389
1850.0000  176.4897   10.9591
1851.0000  176.6363   11.2039
1852.0000  177.2359   11.3098
1853.0000  177.2501   11.2952
1854.0000  177.2644   11.2994
1855.0000  176.5678   11.3043
1856.0000  176.5096   11.3069
1857.0000  177.1621   11.3070
1858.0000  177.1764   11.3072
1859.0000  177.1906   11.3076
1860.0000  177.2048   11.3079
1861.0000  177.7453   11.2989
1862.0000  178.8120   11.3087
1863.0000  179.8787   11.3280
1864.0000  180.9454   11.3287
1865.0000  182.7229   11.3293
1866.0000  183.8620   11.3302
1867.0000  184.2904   11.3327
1868.0000  185.3570   11.3359
1869.0000  186.4237   11.3389
1870.0000  188.2012   11.2180
1871.0000  187.6462   11.0478
1872.0000  184.6862   11.0845
1873.0000  182.3645   11.1560
1874.0000  180.0428   11.1391
1875.0000  178.4320   11.0071
1876.0000  176.1828   10.8678
1877.0000  173.2228   10.9759
1878.0000  170.9011   11.0928
1879.0000  168.5794   11.0875
1880.0000  166.9686   11.0826
1881.0000  165.3747   11.0684
1882.0000  163.0870   11.0719
1883.0000  160.7993   11.0855
1884.0000  157.8007   11.0828
1885.0000  154.7298   11.0809
1886.0000  153.0079   11.0713
1887.0000  151.3586   10.9374
1888.0000  149.0709   10.8109
1889.0000  146.7831   10.9324
1890.0000  144.4954   11.0554
1891.0000  143.6736   11.0547
1892.0000  143.6793   11.0529
1893.0000  142.3359   10.9259
1894.0000  140.9200   10.7971
1895.0000  140.8533   10.7906
1896.0000  140.8590   10.7834
1897.0000  139.5156   10.8998
1898.0000  138.8105   10.8927
1899.0000  138.8162   10.7613
1900.0000  138.8944   10.8771
1901.0000  140.5941   10.9930
1902.0000  141.9278   10.9834
1903.0000  142.6956   10.9710
1904.0000  143.5359   10.9564
1905.0000  143.7378   10.9403
1906.0000  143.9397   10.9231
1907.0000  144.1416   11.0297
1908.0000  145.0543   11.1374
1909.0000  146.0395   11.1229
1910.0000  145.6756   11.1098
1911.0000  145.1875   11.0978
1912.0000  145.9968   11.2099
1913.0000  147.5895   11.1982
1914.0000  148.6162   11.0618
1915.0000  149.0047   11.1725
1916.0000  149.3931   11.2843
1917.0000  149.7815   11.3973
1918.0000  150.8807   11.5116
1919.0000  152.0524   11.3793
1920.0000  151.8749   11.3708
1921.0000  151.7081   11.4869
1922.0000  152.9734   11.3557
1923.0000  154.3112   11.2232
1924.0000  155.0106   11.2132
1925.0000  155.7101   11.2019
1926.0000  156.4095   11.3134
1927.0000  157.1090   11.3011
1928.0000  157.8084   11.0403
1929.0000  157.7970   11.0263
1930.0000  157.7132   11.0132
1931.0000  158.2244   10.8776
1932.0000  158.6922   10.9911
1933.0000  159.1601   11.1073
1934.0000  158.9171   11.1021
1935.0000  158.6017   11.0981
1936.0000  158.9246   11.0944
1937.0000  159.2476   10.9663
1938.0000  159.5705   10.8359
1939.0000  159.8934   10.8266
1940.0000  160.9271   10.8145
1941.0000  161.8227   10.9108
1942.0000  161.1586   10.9713
1943.0000  160.4220   10.8680
1944.0000  161.0346   10.8539
1945.0000  161.7196   10.8086
1946.0000  162.4771   10.6170
1947.0000  164.0178   10.4161
1948.0000  164.9927   10.2199
1949.0000  166.0400   10.0424
1950.0000  167.8707    9.7734
1951.0000  168.0443    9.5381
1952.0000  167.2716    9.5716
1953.0000  166.7164    9.6199
1954.0000  164.9569    9.4343
1955.0000  163.2699    9.3808
1956.0000  162.3661    9.4560
1957.0000  161.6073    9.2858
1958.0000  160.2827    9.2378
1959.0000  159.0305    9.4347
1960.0000  158.5615    9.5032
1961.0000  159.2889    9.3033
